Country Name,GDP (current US$),"Inflation, consumer prices (annual %)","Inflation, GDP deflator (annual %)","Unemployment, total (% of total labor force) (national estimate)",Real interest rate (%),Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),"Official exchange rate (LCU per US$, period average)","Foreign direct investment, net inflows (% of GDP)",GDP growth (annual %),GDP per capita (current US$),,Consumer price index (2010 = 100)
Switzerland,8.18E+11,2.835027986,2.497159504,4.3,0.145920368,76.93561539,63.23393339,0.9548325,-1.342689794,2.568328178,93259.90572,,
Syrian Arab Republic,..,..,..,..,..,..,..,..,..,..,..,,
Tajikistan,10492123388,..,6.024964419,..,..,..,..,11.031075,1.661295067,8,1054.189484,,
Tanzania,75732311666,4.350272043,2.71937234,..,..,15.42137599,19.59948347,..,1.66991863,4.558027339,1192.766479,,
Thailand,4.95E+11,6.077412284,4.724843041,0.94,-1.514931569,65.77942867,68.09655896,35.06135021,2.267135001,2.597644126,6909.956285,,
Timor-Leste,3204753000,..,11.35539551,..,-0.31512028,55.67870597,41.96072209,1,-12.33740782,-20.54158677,2389.295875,,
Togo,8341225241,7.967573616,5.024366678,..,..,23.97056784,33.86573424,623.7597009,-2.720693219,5.810546568,942.6499016,,
Tonga,..,10.97136529,..,..,-0.600445663,..,..,2.327929827,..,..,..,,
Trinidad and Tobago,30053575132,5.828386385,20.81451257,4.383,-11.02924554,..,..,6.754128961,-3.039577443,1.482243918,19629.46534,,
Tunisia,46303552449,8.306461244,7.573110351,..,..,49.36289672,61.37705287,3.1036,1.389122664,2.437866065,3747.419391,,
Turkiye,9.07E+11,72.30883599,96.03611496,10.432,..,38.58420213,42.58592745,16.54886042,1.443471931,5.533469266,10674.50417,,
Turkmenistan,56542857143,..,11.17887464,..,..,..,..,..,1.655451736,1.699999967,8792.548504,,
Turks and Caicos Islands,1138808881,..,2.63653484,..,..,..,..,..,3.073386639,6.2,24917.59581,,
Tuvalu,59065979.02,..,5.547542528,7.867,..,..,..,..,..,0.677317446,5221.532799,,
Uganda,45567304608,7.19578886,4.922286731,..,..,12.02199543,22.48330649,3689.817386,6.480395786,4.588021922,964.3958695,,
Ukraine,1.61E+11,20.18363666,34.32071191,..,-11.69685227,35.45661861,52.25024793,32.3423016,0.153891456,-29.1,4533.975586,,
United Arab Emirates,5.07E+11,4.827888596,13.24153717,2.873,..,..,..,3.6725,4.483961966,7.850418125,53707.98008,,
United Kingdom,3.09E+12,7.922048831,5.152902299,..,..,33.42793984,36.09447883,0.811301716,1.453443264,4.346561401,46125.25575,,
United States,2.54E+13,8.002799821,7.040723092,3.65,..,11.77311839,15.59045508,1,1.525481826,1.935634592,76329.58227,,
Uruguay,71177146197,9.104379831,4.413071553,7.877,6.179581329,31.32223241,25.86930525,41.17108333,11.97499047,4.921874463,20795.04235,,
Uzbekistan,80391853887,11.4466437,13.84832757,..,6.937113661,27.26936116,44.30958386,11050.14542,3.10667186,5.668817053,2255.151155,,
Vanuatu,1055811724,7.102231296,12.44309459,..,-3.234757344,14.81788623,53.69482396,115.3539167,1.012963105,1.848971065,3231.3513,,
"Venezuela, RB",..,..,..,..,..,..,..,..,..,..,..,,
Viet Nam,4.09E+11,3.1565075,3.860477768,1.535,3.998494572,93.98636872,91.74361832,23271.2125,4.378643796,8.019792374,4163.514299,,
Virgin Islands (U.S.),..,..,..,..,..,..,..,..,..,..,..,,
